报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2014,5442.58万,False,1309.77万,False,8.67亿,False,False,1.28,False,0.25,-0.69,6.41%,25.73%,23.72%,21.19%,328.86,2.06,174.53,154.33,2.02,0.49,0.49,9.89,88.33%
2015,9.31亿,1609.94%,8.80亿,6619.47%,57.03亿,557.93%,0.7755,0.89,0.78,0.80,0.47,16.67%,38.64%,130.37%,74.23%,156.92,5.17,69.63,87.29,1.03,0.78,0.78,5.72,82.72%
2016,28.52亿,206.43%,27.86亿,216.61%,148.79亿,160.90%,1.8736,8.42,18.93,4.83,1.15,19.61%,43.70%,69.55%,18.41%,169.07,6.98,51.60,117.47,2.14,1.04,1.03,0.83,44.76%
2017,38.78亿,35.98%,23.76亿,-14.74%,199.97亿,34.40%,2.0084,12.63,7.85,3.33,1.20,20.97%,36.29%,18.99%,15.70%,195.63,5.33,67.50,128.13,1.85,1.49,1.49,0.94,46.70%
2018,33.87亿,-12.66%,31.28亿,31.68%,296.11亿,48.08%,1.6412,15.01,9.74,4.33,5.16,12.62%,32.79%,11.75%,10.28%,174.80,3.79,94.91,79.90,1.73,1.44,1.43,1.17,52.36%
2019,45.60亿,34.64%,39.15亿,25.15%,457.88亿,54.63%,2.0937,17.27,9.79,6.18,6.10,10.95%,29.06%,12.78%,11.96%,160.08,3.50,102.83,57.25,1.57,1.27,1.23,1.55,58.37%
2020,55.83亿,22.43%,42.65亿,8.93%,503.19亿,9.90%,2.4942,27.56,17.88,8.00,7.91,12.13%,27.76%,11.27%,8.70%,192.57,2.94,122.34,70.23,2.05,1.78,1.75,1.36,55.82%
2021,159.31亿,185.34%,134.42亿,215.20%,1303.56亿,159.06%,6.8760,36.26,18.52,14.63,18.41,13.70%,26.28%,21.52%,18.85%,148.47,3.60,100.07,48.39,1.19,0.84,0.80,2.54,69.90%
2022,307.29亿,92.89%,282.13亿,109.88%,3285.94亿,152.07%,7.1766,67.34,36.40,25.89,25.06,10.18%,20.25%,24.67%,18.68%,125.04,4.48,80.28,44.77,1.31,0.96,0.89,2.58,70.56%
2023,441.21亿,43.58%,400.92亿,42.10%,4009.17亿,22.01%,10.0600,44.94,19.98,23.47,21.10,11.66%,22.91%,24.04%,22.32%,125.88,5.06,71.11,54.77,1.57,1.36,1.16,2.52,69.34%
2024,507.45亿,15.01%,449.93亿,12.23%,3620.13亿,-9.70%,11.5800,56.08,26.51,28.75,22.03,14.92%,24.44%,24.13%,20.55%,133.00,5.20,69.28,63.72,1.61,1.38,1.21,2.08,65.24%
2025,722.01亿,42.28%,645.08亿,43.37%,4237.02亿,17.04%,16.1400,73.87,34.24,38.26,29.19,18.12%,26.27%,24.91%,21.42%,148.65,4.05,88.95,59.70,1.60,1.29,1.18,1.79,61.94%
