报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2008,10.21亿,False,6.19亿,False,277.27亿,False,0.5000,5.50,2.13,2.13,0.87,4.60%,20.54%,9.29%,9.05%,147.53,3.19,112.95,34.57,1.03,0.52,0.52,1.70,59.00%
2009,37.94亿,271.46%,33.35亿,438.90%,411.14亿,48.28%,1.7700,7.33,2.51,3.34,5.27,9.92%,23.43%,27.13%,22.74%,94.18,5.56,64.72,29.46,0.93,0.68,0.68,1.28,52.96%
2010,25.23亿,-33.48%,20.70亿,-37.93%,484.48亿,17.84%,1.1100,8.11,2.52,3.98,1.38,6.02%,19.14%,14.36%,13.67%,85.44,7.16,50.28,35.16,0.63,0.37,0.37,1.72,60.06%
2011,13.85亿,-45.13%,6.29亿,-69.62%,488.82亿,0.78%,0.6000,8.97,2.98,4.32,2.54,3.27%,17.18%,6.98%,6.55%,98.59,6.16,58.46,40.12,0.64,0.43,0.43,1.97,63.46%
2012,8137.70万,-94.12%,-4.84亿,-176.91%,468.54亿,-4.05%,0.0300,9.00,2.98,4.30,2.36,0.45%,14.30%,0.38%,0.38%,107.63,5.76,62.49,45.13,0.61,0.39,0.39,2.10,64.86%
2013,5.53亿,579.63%,-5693.00万,88.23%,528.63亿,12.83%,0.2300,9.22,2.99,4.47,1.03,1.47%,15.36%,2.58%,2.55%,110.11,5.75,62.62,47.49,0.68,0.46,0.46,2.37,67.46%
2014,4.34亿,-21.61%,-6.77亿,-1089.67%,581.96亿,10.09%,0.1800,10.24,4.16,4.30,0.02,1.27%,15.55%,1.84%,1.71%,132.97,5.40,66.66,66.31,0.77,0.53,0.53,2.57,69.26%
2015,28.23亿,551.28%,12.07亿,278.16%,800.09亿,37.48%,1.1200,11.75,4.16,5.29,1.55,3.92%,16.87%,10.22%,8.74%,148.98,5.17,69.63,79.35,0.82,0.54,0.54,2.46,68.80%
2016,50.52亿,78.94%,46.13亿,282.34%,1034.70亿,29.32%,1.8800,17.40,8.97,5.95,-0.68,5.30%,20.36%,12.91%,9.86%,182.46,4.97,72.37,110.10,1.00,0.72,0.72,1.75,61.81%
2017,40.66亿,-19.51%,29.87亿,-35.26%,1059.15亿,2.36%,1.4000,18.73,8.97,7.05,2.33,4.64%,19.01%,7.76%,7.39%,237.32,4.61,78.17,159.15,0.98,0.66,0.66,2.15,66.33%
2018,27.80亿,-31.63%,5.86亿,-80.39%,1300.55亿,22.79%,0.9300,18.80,8.99,7.51,4.59,2.73%,16.40%,4.96%,5.04%,216.50,4.71,76.49,140.01,0.99,0.60,0.54,2.43,68.81%
2019,16.14亿,-41.93%,2.31亿,-60.64%,1277.39亿,-1.78%,0.5000,19.20,8.99,7.72,5.40,1.66%,16.29%,2.62%,2.84%,218.73,4.12,87.37,131.35,0.99,0.67,0.54,2.34,68.00%
2020,42.34亿,162.27%,29.54亿,1181.50%,1565.98亿,22.59%,1.4700,20.45,9.05,8.96,16.64,3.84%,19.38%,7.43%,7.45%,179.09,4.43,81.22,97.87,1.05,0.67,0.53,2.40,67.94%
2021,30.45亿,-28.08%,12.55亿,-57.53%,2161.42亿,38.02%,1.0600,32.66,20.89,9.09,22.49,1.84%,13.02%,3.73%,3.20%,136.08,5.03,71.57,64.51,0.97,0.65,0.55,2.01,64.76%
2022,166.22亿,445.86%,156.38亿,1146.42%,4240.61亿,96.20%,5.7100,38.14,21.20,14.06,48.38,4.18%,17.04%,16.14%,14.97%,94.52,5.75,62.66,31.87,0.72,0.42,0.34,3.35,75.42%
2023,300.41亿,80.72%,284.62亿,82.01%,6023.15亿,42.04%,10.3200,47.68,21.31,23.06,58.30,5.20%,20.21%,24.40%,21.64%,92.56,5.76,62.47,30.09,0.67,0.44,0.40,3.81,77.86%
2024,402.54亿,34.00%,369.83亿,29.94%,7771.02亿,29.02%,4.6100,58.56,20.86,33.91,45.87,5.35%,19.44%,26.05%,21.73%,87.33,6.15,58.57,28.76,0.75,0.47,0.42,3.16,74.64%
2025,326.19亿,-18.97%,294.46亿,-20.38%,8039.65亿,3.46%,3.5800,24.96,10.45,12.73,6.49,4.20%,17.74%,15.31%,13.25%,91.49,5.20,69.26,22.23,0.79,0.38,0.36,2.54,70.74%
