报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
1998,1.47亿,False,False,False,6.28亿,False,False,False,False,False,False,23.38%,87.79%,54.27%,68.12%,1485.76,0.24,1485.76,False,1.16,0.43,0.43,2.17,68.44%
1999,2.16亿,46.84%,False,False,8.91亿,41.81%,1.1700,1.54,0.48,0.03,False,24.21%,85.50%,69.76%,75.57%,1031.52,0.35,1031.52,False,1.14,0.46,0.47,2.21,68.81%
2000,2.50亿,15.70%,False,False,11.14亿,25.05%,False,2.39,0.48,0.58,2.39,23.05%,82.33%,68.44%,56.41%,855.51,0.42,855.51,False,1.30,0.66,0.64,1.85,64.90%
2001,3.28亿,31.55%,3.35亿,False,16.18亿,45.25%,1.5900,10.12,8.16,0.31,0.17,21.16%,82.23%,26.79%,12.97%,823.40,0.44,813.01,10.39,3.10,2.25,2.28,0.37,26.73%
2002,3.76亿,14.59%,3.78亿,12.94%,18.35亿,13.40%,1.3700,10.37,7.32,1.05,1.58,21.40%,81.44%,13.86%,13.21%,993.46,0.37,984.68,8.77,2.83,1.81,1.88,0.37,26.85%
2003,5.87亿,55.97%,5.86亿,54.82%,24.01亿,30.85%,1.9400,11.37,7.33,2.31,3.11,25.35%,80.12%,18.65%,17.06%,869.40,0.42,864.14,5.26,2.53,1.71,1.76,0.43,29.98%
2004,8.21亿,39.85%,8.19亿,39.85%,30.10亿,25.35%,2.0900,10.60,4.89,2.56,2.48,28.38%,82.22%,21.53%,19.68%,982.04,0.37,978.53,3.51,2.21,1.43,1.49,0.52,33.84%
2005,11.19亿,36.32%,11.18亿,36.53%,39.31亿,30.59%,2.3700,10.79,3.91,3.53,3.59,29.74%,82.52%,23.99%,21.97%,934.63,0.39,931.20,3.43,2.08,1.43,1.50,0.57,35.93%
2006,15.45亿,38.11%,14.97亿,33.96%,49.03亿,24.75%,1.6400,6.25,1.46,3.31,2.23,32.96%,83.96%,27.67%,25.51%,883.23,0.41,879.12,4.11,1.99,1.41,1.41,0.56,35.56%
2007,28.31亿,83.25%,28.33亿,89.19%,72.37亿,47.60%,3.0000,8.72,1.46,5.38,1.85,40.98%,87.96%,39.30%,34.38%,887.81,0.41,884.96,2.85,3.44,2.35,2.35,0.26,20.16%
2008,37.99亿,34.22%,38.03亿,34.22%,82.42亿,13.88%,4.0300,11.91,1.46,8.40,5.56,48.54%,90.30%,39.01%,33.79%,1221.70,0.30,1219.93,1.77,2.88,1.97,1.97,0.38,26.98%
2009,43.12亿,13.50%,43.08亿,13.29%,96.70亿,17.33%,4.5700,15.33,1.46,11.19,4.48,47.08%,90.17%,33.55%,29.81%,1384.60,0.26,1383.55,1.05,3.06,2.01,2.01,0.35,25.89%
2010,50.51亿,17.13%,50.50亿,17.23%,116.33亿,20.30%,4.8700,19.49,1.46,14.73,6.57,45.90%,90.95%,30.91%,27.45%,1670.11,0.22,1669.76,0.35,2.89,1.88,1.88,0.38,27.51%
2011,87.63亿,73.49%,87.65亿,73.55%,184.02亿,58.19%,8.4400,24.07,1.32,19.20,9.78,50.27%,91.57%,40.39%,35.07%,1480.91,0.24,1480.87,0.03,2.94,1.98,1.98,0.38,27.21%
2012,133.08亿,51.86%,134.01亿,52.90%,264.55亿,43.76%,12.8200,32.89,1.32,27.64,11.48,52.95%,92.27%,45.00%,38.97%,1484.06,0.24,1483.92,0.14,3.80,2.38,2.38,0.28,21.21%
